genre,rating_stddev,movie_count
Sci-Fi,1.3889222262225658,101
Fantasy,1.3504984834668101,143
Reality-TV,1.3093891705677119,16
Thriller,1.290689481010013,389
Action,1.2847306568539254,539
Horror,1.2736413975835403,250
Family,1.1922646555224161,131
Adventure,1.1766911382232146,308
Comedy,1.1729958718822362,996
Mystery,1.1675566053044915,205
Short,1.1341293185941212,121
Musical,1.1338142525820922,34
Crime,1.1137552850062737,441
Romance,1.0805969498594747,377
Animation,1.0600789131490849,202
Drama,1.0541173445634078,1309
Music,1.0346731799663567,88
War,1.016818698579413,43
Sport,1.010444450688689,71
Biography,0.8784026412885945,190
Documentary,0.8730311407194603,582
History,0.8205436234186816,131
News,0.7346724370381604,13
Film-Noir,0.49787426914712907,12
Western,0.42628747869571953,24
