certificate,movies_certificate_count,certificate_avg_rating
12,1,7.4
TV-Y7,333,7.337237237237235
TV-PG,539,7.1656771799629
TV-14,1192,7.083137583892621
TV-Y7-FV,31,7.080645161290321
TV-MA,2490,6.938835341365469
Passed,6,6.866666666666666
Approved,25,6.856000000000002
TV-G,148,6.82972972972973
TV-Y,148,6.806756756756754
G,43,6.790697674418604
PG,154,6.456493506493506
PG-13,276,6.362318840579713
NC-17,4,6.2
Unrated,63,6.158730158730159
Not Rated,460,6.154130434782608
R,466,6.038197424892706
M,1,5.8
MA-17,1,4.7
